"Points:0","Points:1","Points:2"
-0.026176,-0.99963,-0.00733
-0.0185904,-0.958287,0.00679588
-0.0216327,-0.928754,-0.00299136
-0.0305321,-0.898241,-0.0173411
-0.0386115,-0.865846,-0.0358128
-0.0499111,-0.830849,-0.0567501
-0.0610624,-0.797692,-0.0860487
-0.0650906,-0.764676,-0.10785
-0.055999,-0.727797,-0.119205
-0.064819,-0.691563,-0.143028
-0.0729815,-0.660052,-0.146152
-0.0703456,-0.626874,-0.143307
-0.0687854,-0.592984,-0.145467
-0.0665408,-0.564731,-0.143045
-0.0626757,-0.530333,-0.135029
