"Points:0","Points:1","Points:2"
0.320606,-0.0462,0.946085
0.33328,-0.0968838,0.89689
0.306448,-0.11861,0.871354
0.304203,-0.10871,0.849198
0.360391,0.00244469,0.821387
0.349362,0.00121429,0.791113
0.336974,-0.0105657,0.763995
0.311801,-0.0450343,0.739119
0.288905,-0.0614664,0.713478
0.260604,-0.0827744,0.688087
0.255107,-0.0811432,0.657107
0.245072,-0.0853464,0.626211
0.232947,-0.091982,0.593873
0.224333,-0.0876185,0.564787
0.215809,-0.0833007,0.536005
0.206298,-0.0784832,0.503892
