"Points:0","Points:1","Points:2"
0.115689,-0.820606,-0.55768
0.0771031,-0.789318,-0.543259
0.0459208,-0.752302,-0.539303
0.0212102,-0.726734,-0.523768
-0.0251655,-0.67907,-0.531403
-0.0460845,-0.687672,-0.482737
-0.0169029,-0.660186,-0.458566
0.00651361,-0.645951,-0.423703
0.00583251,-0.616628,-0.402537
0.00131096,-0.593322,-0.3897
-0.00859349,-0.55324,-0.38333
-0.0079329,-0.524855,-0.373383
-0.00542281,-0.502616,-0.349898
-0.00526443,-0.479066,-0.33228
-0.0132725,-0.450442,-0.314093
