"Points:0","Points:1","Points:2"
0.820812,-0.451245,-0.350207
0.771807,-0.452341,-0.33548
0.73789,-0.451666,-0.324143
0.709201,-0.440596,-0.319143
0.68702,-0.427183,-0.315275
0.656567,-0.410868,-0.310793
0.625381,-0.398637,-0.306573
0.592801,-0.384785,-0.300679
0.581835,-0.346628,-0.292617
0.645584,-0.220442,-0.275657
0.624946,-0.194283,-0.268595
0.600578,-0.171187,-0.262143
0.573769,-0.141958,-0.252903
0.548769,-0.126992,-0.247973
0.516219,-0.114695,-0.244703
0.486153,-0.103335,-0.241682
